汉语	Pinyin	Français
爱	ài	aimer, amour
八	bā	huit, 8
爸爸	bàba	papa
杯子	bēizi	verre, tasse
北京	Běijīng	Beijing, Pékin
本	běn	classificateur pour livre
不客气	bù kèqi	je vous en prie
不	bù	non, particule négative
菜	cài	légume, plat
茶	chá	thé
吃	chī	manger
出租车	chūzūchē	taxi
打电话	dǎ diànhuà	téléphoner
大	dà	grand
的	de	particule de détermination
点	diǎn	point, heure
电脑	diànnǎo	ordinateur
电视	diànshì	télévision
电影	diànyǐng	film, cinéma
东西	dōngxi	chose, objet
都	dōu	tout, tous
读	dú	lire, étudier
对不起	duìbuqǐ	désolé, pardon
多	duō	beaucoup
多少	duōshǎo	combien ? (plus de 10)
儿子	érzi	fils
二	èr	deux, 2
饭馆儿	fànguǎnr	restaurant
飞机	fēijī	avion
分钟	fēnzhōng	minute (d’horloge)
高兴	gāoxìng	content
个	gè	classificateur générique
工作	gōngzuò	travailler, travail
狗	gǒu	chien
汉语	Hànyǔ	chinois (langue chinoise)
好	hāo	bien, bon
喝	hē	boire
和	hé	et
很	hěn	très
后面	hòumiàn	derrière
回	huí	revenir, retourner ; fois
会	huì	savoir, pouvoir faire
火车站	huǒchēzhàn	gare ferroviaire
几	jǐ	combien ? (1 à 10)
家	jiā	maison, famille ; classificateur
叫	jiào	appeler
今天	jīntiān	aujourd’hui
九	jiǔ	neuf, 9
开	kāi	ouvrir, conduire
看	kān	regarder, voir
看见	kànjian	voir, apercevoir
块	kuài	morceau ; classificateur
来	lái	venir
老师	lǎoshī	enseignant, professeur
了	le	particule grammaticale
冷	lěng	froid, avoir froid
里	lǐ	à l’intérieur
零	líng	zéro, 0
六	liù	six, 6
妈妈	māma	maman
吗	ma	particule interrogative
买	mǎi	acheter
猫	māo	chat
没	méi	négation du verbe ‘you’ avoir
没关系	méi guānxi	peu importe, ce n’est pas grave
米饭	mǐfàn	riz
明天	míngtiān	demain
名字	míngzì	prénom (personne), nom (objet)
哪儿	nǎr	où ?
那儿	nàr	là-bas
呢	ne	particule interrogative
能	néng	pouvoir
你	nǐ	tu, toi
年	nián	année
女儿	nǚ’ér	fille
朋友	péngyou	ami
漂亮	piàoliang	joli
苹果	píngguǒ	pomme
七	qī	sept, 7
钱	qián	argent
前面	qiánmian	devant
请	qǐng	inviter, svp
去	qù	aller
热	rè	chaud, avoid chaud
人	rén	homme, personne
认识	rènshi	connaître, savoir
日	rì	soleil, jour
三	sān	trois, 3
商店	shāngdiàn	magasin, boutique
上	shǎng	monter ; précédent
上午	shàngwǔ	matin
少	shǎo	peu, peu nombreux
谁	shuí	qui ?
什么	shénme	quoi ?
十	shí	dix, 10
时候	shíhou	moment
是	shì	être
书	shū	livre
水	shuǐ	eau
水果	shuǐguǒ	fruit
睡觉	shuìjiào	dormir
说话	shuōhuà	parler, dire
四	sì	quatre, 4
岁	suì	âge, année d’âge
他	tā	il, lui
她	tā	elle
太	tài	trop, extrêmement
天气	tiānqì	temps, météo
听	tīng	écouter, entendre ; canette
同学	tóngxué	camarade
喂	wèi	allô ; nourrir
我	wǒ	je, moi
我们	wǒmen	nous
五	wǔ	cinq, 5
喜欢	xǐhuan	aimer, apprécier
下	xià	descendre ; suivant
下午	xiàwǔ	après-midi
下雨	xiàyǔ	pleuvoir
先生	xiānsheng	monsieur ; mari
现在	xiànzài	maintenant
想	xiǎng	penser ; avoir envie de
小	xiǎo	petit
小姐	xiǎojie	mademoiselle
些	xiē	quelques, plusieurs
写	xiě	écrire
谢谢	xièxie	merci, remercier
星期	xīngqī	semaine
学生	xuésheng	étudiant, écolier
学习	xuéxí	étudier, apprendre
学校	xuéxiào	école
一	yī	un, 1
衣服	yīfu	vêtement, habit
医生	yīshēng	docteur, médecin
医院	yīyuàn	hôpital
椅子	yǐzi	chaise
有	yǒu	avoir, y avoir
月	yuè	lune, mois
在	zài	se trouver, être quelque part
再见	zàijiàn	au revoir
怎么	zěnme	comment ?
怎么样	zěnmeyàng	comment ça va ?
这儿	zhèr	ici
中国	Zhōngguó	Chine
中午	zhōngwǔ	midi
住	zhù	habiter
桌子	zhuōzi	table
字	zì	caractère, lettre
昨天	zuótiān	hier
坐	zuò	s’asseoir
做	zuò	faire
